Date,TotalAmount,Month,DayOfWeek,IsWeekend,Lag_1,Lag_7,Rolling_Mean_7
2010-12-09,38193.91,12,3,0,39094.2,46192.49,37780.55428571429
2010-12-10,33488.38,12,4,0,38193.91,47197.57,35822.09857142857
2010-12-12,17102.35,12,6,1,33488.38,23876.63,34854.34428571428
2010-12-13,27578.34,12,0,0,17102.35,31361.28,34313.92428571429
2010-12-14,29235.13,12,1,0,27578.34,31009.33,34060.467142857146
2010-12-15,30251.47,12,2,0,29235.13,53730.96,30706.25428571428
2010-12-16,48791.87,12,3,0,30251.47,39094.2,32091.635714285716
2010-12-17,19966.36,12,4,0,48791.87,38193.91,29487.7
2010-12-19,7292.95,12,6,1,19966.36,33488.38,25745.495714285713
2010-12-20,19599.06,12,0,0,7292.95,17102.35,26102.16857142857
2010-12-21,15929.16,12,1,0,19599.06,27578.34,24438.0
2010-12-22,4886.52,12,2,0,15929.16,29235.13,20959.62714285714
2010-12-23,5644.77,12,3,0,4886.52,30251.47,17444.384285714284
2011-01-04,12105.11,1,1,0,5644.77,48791.87,12203.418571428572
2011-01-05,28799.43,1,2,0,12105.11,19966.36,13465.285714285714
2011-01-06,34343.79,1,3,0,28799.43,7292.95,17329.69142857143
2011-01-07,23797.79,1,4,0,34343.79,19599.06,17929.510000000002
2011-01-09,15590.68,1,6,1,23797.79,15929.16,17881.155714285716
2011-01-10,15330.83,1,0,0,15590.68,4886.52,19373.2
2011-01-11,60243.73,1,1,0,15330.83,5644.77,27173.05142857143
2011-01-12,17124.74,1,2,0,60243.73,12105.11,27890.14142857143
2011-01-13,15159.46,1,3,0,17124.74,28799.43,25941.574285714283
2011-01-14,39509.7,1,4,0,15159.46,34343.79,26679.56142857143
2011-01-16,6976.39,1,6,1,39509.7,23797.79,24276.50428571429
2011-01-17,16527.05,1,0,0,6976.39,15590.68,24410.271428571432
2011-01-18,87559.21,1,1,0,16527.05,15330.83,34728.611428571436
2011-01-19,21586.78,1,2,0,87559.21,60243.73,29206.190000000002
2011-01-20,15197.08,1,3,0,21586.78,17124.74,28930.81
2011-01-21,24276.01,1,4,0,15197.08,15159.46,30233.17428571429
2011-01-23,10306.1,1,6,1,24276.01,39509.7,26061.231428571427
2011-01-24,17601.87,1,0,0,10306.1,6976.39,27579.15714285714
2011-01-25,23994.38,1,1,0,17601.87,16527.05,28645.91857142857
2011-01-26,17424.45,1,2,0,23994.38,87559.21,18626.667142857143
2011-01-27,22050.49,1,3,0,17424.45,21586.78,18692.911428571428
2011-01-28,17247.2,1,4,0,22050.49,15197.08,18985.785714285714
2011-01-30,6542.61,1,6,1,17247.2,24276.01,16452.442857142858
2011-01-31,18806.43,1,0,0,6542.61,10306.1,17666.77571428571
2011-02-01,26358.7,2,1,0,18806.43,17601.87,18917.75142857143
2011-02-02,17091.15,2,2,0,26358.7,23994.38,17931.575714285715
2011-02-03,22171.9,2,3,0,17091.15,17424.45,18609.782857142858
2011-02-04,18087.96,2,4,0,22171.9,22050.49,18043.707142857143
2011-02-06,3439.67,2,6,1,18087.96,17247.2,16071.202857142856
2011-02-07,23382.97,2,0,0,3439.67,6542.61,18476.96857142857
2011-02-08,14153.34,2,1,0,23382.97,18806.43,17812.24142857143
2011-02-09,11910.83,2,2,0,14153.34,26358.7,15748.26
2011-02-10,14155.36,2,3,0,11910.83,17091.15,15328.86142857143
2011-02-11,18579.96,2,4,0,14155.36,22171.9,14815.727142857142
2011-02-13,5645.4800000000005,2,6,1,18579.96,18087.96,13038.23
2011-02-14,22999.39,2,0,0,5645.4800000000005,3439.67,15832.475714285714
2011-02-15,37750.62,2,1,0,22999.39,23382.97,17884.99714285714
2011-02-16,23413.97,2,2,0,37750.62,14153.34,19207.944285714282
2011-02-17,17659.64,2,3,0,23413.97,11910.83,20029.202857142856
2011-02-18,14438.73,2,4,0,17659.64,14155.36,20069.684285714287
2011-02-20,9437.8,2,6,1,14438.73,18579.96,18763.661428571428
2011-02-21,32724.38,2,0,0,9437.8,5645.4800000000005,22632.075714285715
2011-02-22,29116.63,2,1,0,32724.38,22999.39,23505.967142857142
2011-02-23,19315.97,2,2,0,29116.63,37750.62,20872.445714285714
2011-02-24,21463.94,2,3,0,19315.97,23413.97,20593.87
2011-02-25,18377.14,2,4,0,21463.94,17659.64,20696.37
2011-02-27,9382.710000000001,2,6,1,18377.14,14438.73,19974.08142857143
2011-02-28,15026.68,2,0,0,9382.710000000001,9437.8,20772.492857142857
2011-03-01,23621.59,3,1,0,15026.68,32724.38,19472.094285714287
2011-03-02,18666.14,3,2,0,23621.59,29116.63,17979.16714285714
2011-03-03,32818.19,3,3,0,18666.14,19315.97,19908.05571428571
2011-03-04,17302.55,3,4,0,32818.19,21463.94,19313.571428571428
2011-03-06,9951.67,3,6,1,17302.55,18377.14,18109.932857142856
2011-03-07,20247.850000000002,3,0,0,9951.67,9382.710000000001,19662.09571428571
2011-03-08,22184.11,3,1,0,20247.850000000002,15026.68,20684.585714285717
2011-03-09,20320.23,3,2,0,22184.11,23621.59,20212.96285714286
2011-03-10,24429.77,3,3,0,20320.23,18666.14,21036.338571428572
2011-03-11,20894.75,3,4,0,24429.77,32818.19,19332.989999999998
2011-03-13,4117.22,3,6,1,20894.75,17302.55,17449.37142857143
2011-03-14,25866.33,3,0,0,4117.22,9951.67,19722.894285714287
2011-03-15,14896.28,3,1,0,25866.33,20247.850000000002,18958.384285714284
2011-03-16,21715.11,3,2,0,14896.28,22184.11,18891.384285714284
2011-03-17,31976.510000000002,3,3,0,21715.11,20320.23,20556.567142857144
2011-03-18,23334.600000000002,3,4,0,31976.510000000002,24429.77,20400.114285714288
2011-03-20,19880.99,3,6,1,23334.600000000002,20894.75,20255.29142857143
2011-03-21,16020.1,3,0,0,19880.99,4117.22,21955.70285714286
2011-03-22,19016.94,3,1,0,16020.1,25866.33,20977.21857142857
2011-03-23,21566.02,3,2,0,19016.94,14896.28,21930.038571428573
2011-03-24,36496.79,3,3,0,21566.02,21715.11,24041.707142857143
2011-03-25,27271.1,3,4,0,36496.79,31976.510000000002,23369.505714285715
2011-03-27,9189.77,3,6,1,27271.1,23334.600000000002,21348.815714285716
2011-03-28,19961.67,3,0,0,9189.77,19880.99,21360.34142857143
2011-03-29,37190.52,3,1,0,19961.67,16020.1,24384.687142857143
2011-03-30,29523.85,3,2,0,37190.52,19016.94,25885.674285714285
2011-03-31,25621.11,3,3,0,29523.85,21566.02,26464.972857142857
2011-04-01,24487.9,4,4,0,25621.11,36496.79,24749.41714285714
2011-04-03,6872.53,4,6,1,24487.9,27271.1,21835.335714285717
2011-04-04,28998.010000000002,4,0,0,6872.53,9189.77,24665.084285714285
2011-04-05,28667.42,4,1,0,28998.010000000002,19961.67,25908.762857142858
2011-04-06,12698.32,4,2,0,28667.42,37190.52,22409.877142857145
2011-04-07,16780.32,4,3,0,12698.32,29523.85,20589.372857142855
2011-04-08,22673.91,4,4,0,16780.32,25621.11,20168.344285714287
2011-04-10,9879.75,4,6,1,22673.91,24487.9,18081.465714285714
2011-04-11,20179.7,4,0,0,9879.75,6872.53,19982.489999999998
2011-04-12,23988.6,4,1,0,20179.7,28998.010000000002,19266.859999999997
2011-04-13,24450.27,4,2,0,23988.6,28667.42,18664.41
2011-04-14,35682.73,4,3,0,24450.27,12698.32,21947.897142857142
2011-04-15,17999.181,4,4,0,35682.73,16780.32,22122.02014285714
2011-04-17,12630.34,4,6,1,17999.181,22673.91,20687.22442857143
2011-04-18,43671.37,4,0,0,12630.34,9879.75,25514.598714285712
2011-04-19,18811.19,4,1,0,43671.37,20179.7,25319.097285714288
2011-04-20,25715.8,4,2,0,18811.19,23988.6,25565.84014285714
2011-04-21,27771.04,4,3,0,25715.8,24450.27,26040.23585714286
2011-04-26,21536.86,4,1,0,27771.04,35682.73,24019.397285714287
2011-04-27,23566.91,4,2,0,21536.86,17999.181,24814.78714285714
2011-04-28,21312.18,4,3,0,23566.91,12630.34,26055.05
2011-05-01,6958.11,5,6,1,21312.18,43671.37,20810.29857142857
2011-05-03,28877.21,5,1,0,6958.11,18811.19,22248.301428571427
2011-05-04,27509.81,5,2,0,28877.21,25715.8,22504.588571428572
2011-05-05,25191.79,5,3,0,27509.81,27771.04,22136.124285714286
2011-05-06,30783.33,5,4,0,25191.79,21536.86,23457.048571428575
2011-05-08,18731.98,5,6,1,30783.33,23566.91,22766.344285714287
2011-05-09,21608.16,5,0,0,18731.98,21312.18,22808.62714285714
2011-05-10,29807.25,5,1,0,21608.16,6958.11,26072.79
2011-05-11,31848.3,5,2,0,29807.25,28877.21,26497.23142857143
2011-05-12,59827.74,5,3,0,31848.3,27509.81,31114.07857142857
2011-05-13,25815.72,5,4,0,59827.74,25191.79,31203.21142857143
2011-05-15,9667.15,5,6,1,25815.72,30783.33,28186.614285714284
2011-05-16,35706.7,5,0,0,9667.15,18731.98,30611.574285714287
2011-05-17,46361.090000000004,5,1,0,35706.7,21608.16,34147.70714285714
2011-05-18,32775.69,5,2,0,46361.090000000004,29807.25,34571.770000000004
2011-05-19,31521.87,5,3,0,32775.69,31848.3,34525.137142857144
2011-05-20,25351.44,5,4,0,31521.87,59827.74,29599.95142857143
2011-05-22,24102.0,5,6,1,25351.44,25815.72,29355.134285714284
2011-05-23,31232.53,5,0,0,24102.0,9667.15,32435.902857142857
2011-05-24,32460.83,5,1,0,31232.53,35706.7,31972.207142857143
2011-05-25,21870.71,5,2,0,32460.83,46361.090000000004,28473.58142857143
2011-05-26,32764.38,5,3,0,21870.71,32775.69,28471.965714285714
2011-05-27,21109.22,5,4,0,32764.38,31521.87,26984.44428571429
2011-05-29,7338.94,5,6,1,21109.22,25351.44,24411.230000000003
2011-05-31,18133.2,5,1,0,7338.94,24102.0,23558.544285714284
2011-06-01,15380.39,6,2,0,18133.2,31232.53,21293.95285714286
2011-06-02,28078.91,6,3,0,15380.39,32460.83,20667.964285714286
2011-06-03,15024.11,6,4,0,28078.91,21870.71,19689.878571428573
2011-06-05,25423.760000000002,6,6,1,15024.11,32764.38,18641.21857142857
2011-06-06,16269.03,6,0,0,25423.760000000002,21109.22,17949.762857142858
2011-06-07,33807.85,6,1,0,16269.03,7338.94,21731.035714285714
2011-06-08,30122.23,6,2,0,33807.85,18133.2,23443.754285714287
2011-06-09,42862.8,6,3,0,30122.23,15380.39,27369.812857142857
2011-06-10,58245.12,6,4,0,42862.8,28078.91,31679.27142857143
2011-06-12,12397.09,6,6,1,58245.12,15024.11,31303.982857142855
2011-06-13,19696.66,6,0,0,12397.09,25423.760000000002,30485.825714285715
2011-06-14,33324.49,6,1,0,19696.66,16269.03,32922.32
2011-06-15,44954.18,6,2,0,33324.49,33807.85,34514.65285714286
2011-06-16,32252.1,6,3,0,44954.18,30122.23,34818.92
2011-06-17,19053.53,6,4,0,32252.1,42862.8,31417.59571428571
2011-06-19,22421.48,6,6,1,19053.53,58245.12,26299.932857142856
2011-06-20,26110.99,6,0,0,22421.48,12397.09,28259.06142857143
2011-06-21,19827.91,6,1,0,26110.99,19696.66,28277.81142857143
2011-06-22,21143.75,6,2,0,19827.91,33324.49,26537.705714285716
2011-06-23,22469.62,6,3,0,21143.75,44954.18,23325.625714285714
2011-06-24,16016.04,6,4,0,22469.62,32252.1,21006.18857142857
2011-06-26,7032.36,6,6,1,16016.04,19053.53,19288.87857142857
2011-06-27,13381.75,6,0,0,7032.36,22421.48,17997.488571428574
2011-06-28,30470.88,6,1,0,13381.75,26110.99,18620.329999999998
2011-06-29,12569.78,6,2,0,30470.88,19827.91,17583.454285714284
2011-06-30,41709.24,6,3,0,12569.78,21143.75,20521.381428571425
2011-07-01,12146.44,7,4,0,41709.24,22469.62,19046.641428571427
2011-07-03,5972.7300000000005,7,6,1,12146.44,16016.04,17611.882857142857
2011-07-04,30941.37,7,0,0,5972.7300000000005,7032.36,21027.455714285716
2011-07-05,25988.510000000002,7,1,0,30941.37,13381.75,22828.42142857143
2011-07-06,22934.22,7,2,0,25988.510000000002,30470.88,21751.755714285715
2011-07-07,27860.38,7,3,0,22934.22,12569.78,23936.127142857145
2011-07-08,17538.5,7,4,0,27860.38,41709.24,20483.164285714283
2011-07-10,5959.54,7,6,1,17538.5,12146.44,19599.321428571428
2011-07-11,20008.83,7,0,0,5959.54,5972.7300000000005,21604.47857142857
2011-07-12,17938.49,7,1,0,20008.83,30941.37,19746.924285714285
2011-07-13,19411.52,7,2,0,17938.49,25988.510000000002,18807.354285714286
2011-07-14,31979.04,7,3,0,19411.52,22934.22,20099.471428571433
2011-07-15,11814.7,7,4,0,31979.04,27860.38,17807.231428571427
2011-07-17,16926.15,7,6,1,11814.7,17538.5,17719.75285714286
2011-07-18,22001.63,7,0,0,16926.15,5959.54,20011.480000000003
2011-07-19,46583.01,7,1,0,22001.63,20008.83,23807.79142857143
2011-07-20,27021.06,7,2,0,46583.01,17938.49,25105.301428571427
2011-07-21,30271.940000000002,7,3,0,27021.06,19411.52,26656.79
2011-07-22,14628.88,7,4,0,30271.940000000002,31979.04,24178.195714285714
2011-07-24,26777.920000000002,7,6,1,14628.88,11814.7,26315.798571428575
2011-07-25,19676.55,7,0,0,26777.920000000002,16926.15,26708.712857142855
2011-07-26,17284.301,7,1,0,19676.55,22001.63,26034.80871428572
2011-07-27,22846.13,7,2,0,17284.301,46583.01,22643.82585714286
2011-07-28,54171.950000000004,7,3,0,22846.13,27021.06,26522.52442857143
2011-07-29,17166.75,7,4,0,54171.950000000004,30271.940000000002,24650.354428571427
2011-07-31,33112.36,7,6,1,17166.75,14628.88,27290.85157142857
2011-08-01,19778.12,8,0,0,33112.36,26777.920000000002,26290.880142857146
2011-08-02,20272.0,8,1,0,19778.12,19676.55,26375.94442857143
2011-08-03,26572.83,8,2,0,20272.0,17284.301,27702.87714285714
2011-08-04,62074.19,8,3,0,26572.83,22846.13,33306.885714285716
2011-08-05,19703.95,8,4,0,62074.19,54171.950000000004,28382.885714285716
2011-08-07,7541.91,8,6,1,19703.95,17166.75,27007.908571428572
2011-08-08,19743.98,8,0,0,7541.91,33112.36,25098.140000000003
2011-08-09,25949.920000000002,8,1,0,19743.98,19778.12,25979.825714285715
2011-08-10,19853.41,8,2,0,25949.920000000002,20272.0,25920.027142857143
2011-08-11,54325.27,8,3,0,19853.41,26572.83,29884.661428571428
2011-08-12,17970.170000000002,8,4,0,54325.27,62074.19,23584.087142857144
2011-08-14,5701.87,8,6,1,17970.170000000002,19703.95,21583.79
2011-08-15,17235.95,8,0,0,5701.87,7541.91,22968.652857142857
2011-08-16,16072.710000000001,8,1,0,17235.95,19743.98,22444.18571428571
2011-08-17,48554.44,8,2,0,16072.710000000001,25949.920000000002,25673.402857142857
2011-08-18,54034.98,8,3,0,48554.44,19853.41,30556.484285714287
2011-08-19,17326.07,8,4,0,54034.98,54325.27,25270.884285714284
2011-08-21,14410.25,8,6,1,17326.07,17970.170000000002,24762.324285714287
2011-08-22,29617.26,8,0,0,14410.25,5701.87,28178.808571428573
2011-08-23,22384.02,8,1,0,29617.26,17235.95,28914.247142857144
2011-08-24,38371.37,8,2,0,22384.02,16072.710000000001,32099.77
2011-08-25,22441.260000000002,8,3,0,38371.37,48554.44,28369.315714285716
2011-08-26,24095.49,8,4,0,22441.260000000002,54034.98,24092.245714285713
2011-08-28,10686.56,8,6,1,24095.49,17326.07,23143.744285714285
2011-08-30,8805.17,8,1,0,10686.56,14410.25,22343.018571428573
2011-08-31,20527.89,8,2,0,8805.17,29617.26,21044.537142857145
2011-09-01,37358.62,9,3,0,20527.89,22384.02,23183.765714285717
2011-09-02,30203.86,9,4,0,37358.62,38371.37,22016.97857142857
2011-09-04,16930.43,9,6,1,30203.86,22441.260000000002,21229.717142857142
2011-09-05,35439.91,9,0,0,16930.43,24095.49,22850.34857142857
2011-09-06,25466.97,9,1,0,35439.91,10686.56,24961.835714285717
2011-09-07,21967.420000000002,9,2,0,25466.97,8805.17,26842.157142857144
2011-09-08,23048.38,9,3,0,21967.420000000002,20527.89,27202.227142857148
2011-09-09,25082.86,9,4,0,23048.38,37358.62,25448.547142857144
2011-09-11,35206.92,9,6,1,25082.86,30203.86,26163.27
2011-09-12,27777.36,9,0,0,35206.92,16930.43,27712.83142857143
2011-09-13,48116.5,9,1,0,27777.36,35439.91,29523.772857142856
2011-09-14,22013.75,9,2,0,48116.5,25466.97,29030.455714285716
2011-09-15,71926.69,9,3,0,22013.75,21967.420000000002,36167.49428571428
2011-09-16,23245.03,9,4,0,71926.69,23048.38,36195.58714285714
2011-09-18,15639.55,9,6,1,23245.03,25082.86,34846.54285714286
2011-09-19,46588.21,9,0,0,15639.55,35206.92,36472.44142857142
2011-09-20,103377.68,9,1,0,46588.21,27777.36,47272.48714285714
2011-09-21,38472.1,9,2,0,103377.68,48116.5,45894.71571428572
2011-09-22,57734.98,9,3,0,38472.1,22013.75,50997.74857142857
2011-09-23,31753.75,9,4,0,57734.98,71926.69,45258.75714285714
2011-09-25,31164.781,9,6,1,31753.75,23245.03,46390.15014285715
2011-09-26,29265.511,9,0,0,31164.781,15639.55,48336.716
2011-09-27,29212.32,9,1,0,29265.511,46588.21,45854.446
2011-09-28,39001.91,9,2,0,29212.32,103377.68,36657.90742857143
2011-09-29,44671.27,9,3,0,39001.91,38472.1,37543.503142857146
2011-09-30,40023.44,9,4,0,44671.27,57734.98,35013.283142857144
2011-10-02,11479.98,10,6,1,40023.44,31753.75,32117.030285714285
2011-10-03,62143.07,10,0,0,11479.98,31164.781,36542.50014285714
2011-10-04,38532.090000000004,10,1,0,62143.07,29265.511,37866.29714285715
2011-10-05,73975.57,10,2,0,38532.090000000004,29212.32,44261.04714285715
2011-10-06,60258.53,10,3,0,73975.57,39001.91,47297.70714285715
2011-10-07,49089.47,10,4,0,60258.53,44671.27,47928.87857142858
2011-10-09,12215.51,10,6,1,49089.47,40023.44,43956.317142857144
2011-10-10,42962.8,10,0,0,12215.51,11479.98,48453.86285714286
2011-10-11,46401.14,10,1,0,42962.8,62143.07,46205.01571428572
2011-10-12,27655.2,10,2,0,46401.14,38532.090000000004,44651.17428571429
2011-10-13,32850.25,10,3,0,27655.2,73975.57,38776.12857142858
2011-10-14,32071.62,10,4,0,32850.25,60258.53,34749.427142857145
2011-10-16,21767.94,10,6,1,32071.62,49089.47,30846.35142857143
2011-10-17,46868.65,10,0,0,21767.94,12215.51,35796.8
2011-10-18,37248.16,10,1,0,46868.65,42962.8,34980.42285714286
2011-10-19,37227.88,10,2,0,37248.16,46401.14,33669.95714285714
2011-10-20,60910.3,10,3,0,37227.88,27655.2,38420.68571428572
2011-10-21,60364.01,10,4,0,60910.3,32850.25,42351.22285714286
2011-10-23,12156.57,10,6,1,60364.01,32071.62,39506.21571428572
2011-10-24,38897.89,10,0,0,12156.57,21767.94,41953.351428571434
2011-10-25,36113.86,10,1,0,38897.89,46868.65,40416.95285714285
2011-10-26,34105.36,10,2,0,36113.86,37248.16,39967.98142857143
2011-10-27,55747.200000000004,10,3,0,34105.36,37227.88,42613.59857142857
2011-10-28,37194.58,10,4,0,55747.200000000004,60910.3,39225.63857142858
2011-10-30,34397.95,10,6,1,37194.58,60364.01,35516.20142857143
2011-10-31,33006.87,10,0,0,34397.95,12156.57,38494.815714285716
2011-11-01,29069.56,11,1,0,33006.87,38897.89,37090.76857142857
2011-11-02,38536.44,11,2,0,29069.56,36113.86,37436.851428571434
2011-11-03,60536.090000000004,11,3,0,38536.44,34105.36,41212.67
2011-11-04,55716.47,11,4,0,60536.090000000004,55747.200000000004,41208.280000000006
2011-11-06,42508.590000000004,11,6,1,55716.47,37194.58,41967.42428571429
2011-11-07,28602.73,11,0,0,42508.590000000004,34397.95,41139.53571428572
2011-11-08,38151.91,11,1,0,28602.73,33006.87,41874.541428571436
2011-11-09,61241.58,11,2,0,38151.91,29069.56,46470.544285714284
2011-11-10,70373.03,11,3,0,61241.58,38536.44,51018.62857142858
2011-11-11,36932.07,11,4,0,70373.03,60536.090000000004,47646.625714285714
2011-11-13,28416.010000000002,11,6,1,36932.07,55716.47,43746.560000000005
2011-11-14,58595.22,11,0,0,28416.010000000002,42508.590000000004,46044.65
2011-11-15,47535.51,11,1,0,58595.22,28602.73,48749.33285714286
2011-11-16,48154.12,11,2,0,47535.51,38151.91,50178.22000000001
2011-11-17,55683.49,11,3,0,48154.12,61241.58,49384.20714285714
2011-11-18,36606.25,11,4,0,55683.49,70373.03,44560.381428571425
